Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Chris Wade,155 lbs.,Cain Carrizosa,WIN,SUB,1.0,1:12,Submission,Chris Wade Submission Win,Chris Wade Decision Win
Chris Weidman,185 lbs.,Jacare Souza,LOSS,KO/TKO ,3.0,2:46,KO,Jacare Souza KO Win,Jacare Souza KO Win
Christian Wellisch,234 lbs.,Scott Junk,WIN,SUB,1.0,3:19,Submission,Christian Wellisch Submission Win,Christian Wellisch Submission Win
Christos Giagos,155 lbs.,Sean Soriano,WIN,SUB ,2.0,0:59,Submission,Christos Giagos Submission Win,Christos Giagos Decision Win
Chuck Liddell,205 lbs.,Amar Suloev,WIN,U-DEC,3.0,5:00,Decision,Chuck Liddell Decision Win,Chuck Liddell KO Win
Ciryl Gane,245 lbs.,Francis Ngannou,LOSS,U-DEC,5.0,5:00,Decision,Francis Ngannou Decision Win,Francis Ngannou KO Win
Claudia Gadelha,115 lbs.,Randa Markos,WIN,U-DEC,3.0,5:00,Decision,Claudia Gadelha Decision Win,Randa Markos Decision Win
Claudio Puelles,155 lbs.,Martin Bravo,LOSS,KO/TKO,2.0,1:55,KO,Martin Bravo KO Win,Claudio Puelles Decision Win
Claudio Silva,170 lbs.,Brad Scott,WIN,U-DEC,3.0,5:00,Decision,Claudio Silva Decision Win,Claudio Silva Decision Win
Clay Guida,155 lbs.,Claudio Puelles,LOSS,SUB,1.0,3:01,Submission,Claudio Puelles Submission Win,Claudio Puelles Submission Win
Clint Hester,205 lbs.,Bristol Marunde,WIN,KO/TKO,3.0,3:53,KO,Clint Hester KO Win,Clint Hester KO Win
Cody Brundage,185 lbs.,Dalcha Lungiambula,WIN,SUB ,1.0,3:41,Submission,Cody Brundage Submission Win,Cody Brundage KO Win
Cody Durden,125 lbs.,Muhammad Mokaev,LOSS,SUB,1.0,0:58,Submission,Muhammad Mokaev Submission Win,Muhammad Mokaev Submission Win
Cody Garbrandt,135 lbs.,Rob Font,LOSS,U-DEC,5.0,5:00,Decision,Rob Font Decision Win,Rob Font KO Win
Cody McKenzie,155 lbs.,Aaron Wilkinson,WIN,SUB ,1.0,2:03,Submission,Cody McKenzie Submission Win,Cody McKenzie Submission Win
Cody Stamann,135 lbs.,Said Nurmagomedov,LOSS,SUB,1.0,0:47,Submission,Said Nurmagomedov Submission Win,Cody Stamann Decision Win
Colby Covington,170 lbs.,Kamaru Usman,LOSS,KO/TKO ,5.0,4:10,KO,Kamaru Usman KO Win,Kamaru Usman Decision Win
Cole Escovedo,135 lbs.,Urijah Faber,LOSS,KO/TKO,2.0,5:00,KO,Urijah Faber KO Win,Urijah Faber Decision Win
Cole Miller,145 lbs.,Sam Sicilia,WIN,SUB ,2.0,1:54,Submission,Cole Miller Submission Win,Cole Miller Submission Win
Conor McGregor,155 lbs.,Khabib Nurmagomedov,LOSS,SUB,4.0,3:03,Submission,Khabib Nurmagomedov Submission Win,Conor McGregor KO Win
Constantinos Philippou,185 lbs.,Luke Rockhold,LOSS,KO/TKO,1.0,2:31,KO,Luke Rockhold KO Win,Constantinos Philippou KO Win
Corey Anderson,205 lbs.,Glover Teixeira,WIN,U-DEC,3.0,5:00,Decision,Corey Anderson Decision Win,Glover Teixeira KO Win
Cortney Casey,125 lbs.,Gillian Robertson,LOSS,SUB,3.0,4:36,Submission,Gillian Robertson Submission Win,Gillian Robertson Decision Win
Cory McKenna,115 lbs.,Elise Reed,LOSS,S-DEC,3.0,5:00,Decision,Elise Reed Decision Win,Cory McKenna Decision Win
Cory Sandhagen,135 lbs.,Petr Yan,LOSS,U-DEC ,5.0,5:00,Decision,Petr Yan Decision Win,Petr Yan Decision Win
Court McGee,170 lbs.,Carlos Condit,LOSS,U-DEC,3.0,5:00,Decision,Carlos Condit Decision Win,Court McGee Decision Win
Cristiane Justino,145 lbs.,Yana Santos,WIN,KO/TKO,1.0,3:25,KO,Cristiane Justino KO Win,Cristiane Justino KO Win
Cristiano Marcello,155 lbs.,Reza Madadi,WIN,S-DEC,3.0,5:00,Decision,Cristiano Marcello Decision Win,Reza Madadi Decision Win
Cub Swanson,135 lbs.,Dustin Poirier,WIN,U-DEC,3.0,5:00,Decision,Cub Swanson Decision Win,Dustin Poirier KO Win
Cung Le,185 lbs.,Patrick Cote,WIN,U-DEC,3.0,5:00,Decision,Cung Le Decision Win,Cung Le KO Win
Curtis Blaydes,265 lbs.,Derrick Lewis,LOSS,KO/TKO,2.0,1:26,KO,Derrick Lewis KO Win,Curtis Blaydes KO Win
Curtis Millender,170 lbs.,Siyar Bahadurzada,WIN,U-DEC,3.0,5:00,Decision,Curtis Millender Decision Win,Curtis Millender Decision Win
Cynthia Calvillo,125 lbs.,Andrea Lee,LOSS,KO/TKO,2.0,5:00,KO,Andrea Lee KO Win,Cynthia Calvillo Decision Win
Cyril Asker,247 lbs.,Walt Harris,LOSS,KO/TKO,1.0,1:44,KO,Walt Harris KO Win,Walt Harris KO Win
Cyrille Diabate,205 lbs.,Mauricio Rua,LOSS,KO/TKO,1.0,5:29,KO,Mauricio Rua KO Win,Mauricio Rua KO Win
Da Woon Jung,205 lbs.,Kennedy Nzechukwu,WIN,KO/TKO,1.0,3:04,KO,Da Woon Jung KO Win,Kennedy Nzechukwu KO Win
DaMarques Johnson,170 lbs.,John Maguire,LOSS,SUB,2.0,4:40,Submission,John Maguire Submission Win,DaMarques Johnson Decision Win
Daijiro Matsui,200 lbs.,Rodrigo Gracie,LOSS,SUB,3.0,0:28,Submission,Rodrigo Gracie Submission Win,Rodrigo Gracie Decision Win
Daiju Takase,170 lbs.,Chris Brennan,WIN,U-DEC,2.0,5:00,Decision,Daiju Takase Decision Win,Daiju Takase Decision Win
Daisuke Nakamura,154 lbs.,Marcus Aurelio,LOSS,U-DEC,2.0,5:00,Decision,Marcus Aurelio Decision Win,Marcus Aurelio Decision Win
Dalcha Lungiambula,185 lbs.,Dequan Townsend,WIN,KO/TKO,3.0,0:42,KO,Dalcha Lungiambula KO Win,Dalcha Lungiambula Decision Win
Damacio Page,135 lbs.,Scott Jorgensen,WIN,U-DEC,3.0,5:00,Decision,Damacio Page Decision Win,Scott Jorgensen Submission Win
Damian Stasiak,135 lbs.,Pedro Munhoz,LOSS,U-DEC,3.0,5:00,Decision,Pedro Munhoz Decision Win,Pedro Munhoz Decision Win
Damien Brown,155 lbs.,Vinc Pichel,LOSS,KO/TKO,1.0,3:37,KO,Vinc Pichel KO Win,Vinc Pichel Decision Win
Damir Hadzovic,155 lbs.,Mairbek Taisumov,LOSS,KO/TKO,1.0,3:44,KO,Mairbek Taisumov KO Win,Mairbek Taisumov KO Win
Damir Ismagulov,155 lbs.,Rafael Alves,WIN,U-DEC,3.0,5:00,Decision,Damir Ismagulov Decision Win,Damir Ismagulov Decision Win
Damon Jackson,145 lbs.,Yancy Medeiros,LOSS,SUB,2.0,1:54,Submission,Yancy Medeiros Submission Win,Yancy Medeiros KO Win
Dan Bobish,345 lbs.,Gary Goodridge,LOSS,KO/TKO,1.0,0:18,KO,Gary Goodridge KO Win,Gary Goodridge KO Win
Dan Hardy,170 lbs.,Chris Lytle,LOSS,SUB ,3.0,4:16,Submission,Chris Lytle Submission Win,Dan Hardy Decision Win
Dan Henderson,185 lbs.,Tim Boetsch,WIN,KO/TKO,1.0,0:28,KO,Dan Henderson KO Win,Dan Henderson KO Win
Dan Hooker,155 lbs.,Nasrat Haqparast,WIN,U-DEC,3.0,5:00,Decision,Dan Hooker Decision Win,Nasrat Haqparast Decision Win
Dan Ige,145 lbs.,Chan Sung Jung,LOSS,U-DEC,5.0,5:00,Decision,Chan Sung Jung Decision Win,Dan Ige KO Win
Dan Miller,185 lbs.,Rousimar Palhares,LOSS,U-DEC,3.0,5:00,Decision,Rousimar Palhares Decision Win,Rousimar Palhares Submission Win
Dan Severn,250 lbs.,Ken Shamrock,WIN,S-DEC,3.0,3:00,Decision,Dan Severn Decision Win,Ken Shamrock Submission Win
Daniel Cormier,235 lbs.,Jason Riley,WIN,KO/TKO,1.0,1:02,KO,Daniel Cormier KO Win,Daniel Cormier KO Win
Daniel Kelly,185 lbs.,Derek Brunson,LOSS,KO/TKO,1.0,1:16,KO,Derek Brunson KO Win,Derek Brunson KO Win
Daniel Omielanczuk,247 lbs.,Nandor Guelmino,WIN,KO/TKO,3.0,3:18,KO,Daniel Omielanczuk KO Win,Daniel Omielanczuk KO Win
Daniel Pineda,145 lbs.,Herbert Burns,WIN,KO/TKO ,2.0,4:37,KO,Daniel Pineda KO Win,Daniel Pineda KO Win
Daniel Roberts,170 lbs.,John Howard,LOSS,KO/TKO,1.0,2:01,KO,John Howard KO Win,John Howard Decision Win
Daniel Rodriguez,170 lbs.,Kevin Lee,WIN,U-DEC,3.0,5:00,Decision,Daniel Rodriguez Decision Win,Daniel Rodriguez Decision Win
Daniel Sarafian,185 lbs.,Kiichi Kunimoto,LOSS,SUB,1.0,2:52,Submission,Kiichi Kunimoto Submission Win,Kiichi Kunimoto Decision Win
Daniel Teymur,145 lbs.,Chris Fishgold,LOSS,SUB,2.0,1:10,Submission,Chris Fishgold Submission Win,Chris Fishgold Submission Win
Danielle Taylor,115 lbs.,Jessica Penne,WIN,U-DEC,3.0,5:00,Decision,Danielle Taylor Decision Win,Jessica Penne Decision Win
Danny Castillo,155 lbs.,Phil Cardella,WIN,S-DEC,3.0,5:00,Decision,Danny Castillo Decision Win,Danny Castillo Decision Win
Danny Martinez,125 lbs.,Scott Jorgensen,LOSS,U-DEC ,3.0,5:00,Decision,Scott Jorgensen Decision Win,Scott Jorgensen Decision Win
Danny Roberts,170 lbs.,Ramazan Emeev,WIN,S-DEC,3.0,5:00,Decision,Danny Roberts Decision Win,Ramazan Emeev Decision Win
Daron Cruickshank,155 lbs.,Beneil Dariush,LOSS,SUB,2.0,2:38,Submission,Beneil Dariush Submission Win,Beneil Dariush Decision Win
Darren Elkins,145 lbs.,Jeremy Stephens,LOSS,U-DEC,3.0,5:00,Decision,Jeremy Stephens Decision Win,Darren Elkins Decision Win
Darren Stewart,205 lbs.,Kevin Holland,LOSS,S-DEC,3.0,5:00,Decision,Kevin Holland Decision Win,Kevin Holland Decision Win
Darren Till,185 lbs.,Robert Whittaker,LOSS,U-DEC,5.0,5:00,Decision,Robert Whittaker Decision Win,Darren Till Decision Win
Darren Uyenoyama,125 lbs.,Andrew Valladerez,WIN,SUB,1.0,0:59,Submission,Darren Uyenoyama Submission Win,Darren Uyenoyama Submission Win
Darrick Minner,145 lbs.,Herbert Burns,LOSS,SUB,1.0,2:29,Submission,Herbert Burns Submission Win,Herbert Burns KO Win
Dave Beneteau,250 lbs.,Oleg Taktarov,LOSS,SUB,1.0,0:57,Submission,Oleg Taktarov Submission Win,Oleg Taktarov Submission Win
Dave Herman,242 lbs.,Roy Nelson,LOSS,KO/TKO,1.0,0:51,KO,Roy Nelson KO Win,Roy Nelson KO Win
Dave Menne,170 lbs.,Fabiano Iha,WIN,U-DEC,3.0,5:00,Decision,Dave Menne Decision Win,Fabiano Iha KO Win
Davey Grant,135 lbs.,Adrian Yanez,LOSS,S-DEC ,3.0,5:00,Decision,Adrian Yanez Decision Win,Adrian Yanez KO Win
Davi Ramos,155 lbs.,Sergio Moraes,LOSS,U-DEC,3.0,5:00,Decision,Sergio Moraes Decision Win,Sergio Moraes Decision Win
David Abbott,265 lbs.,Sam Adkins,WIN,SUB,1.0,2:06,Submission,David Abbott Submission Win,Sam Adkins KO Win
David Branch,185 lbs.,Gerald Harris,LOSS,KO/TKO,3.0,2:35,KO,Gerald Harris KO Win,Gerald Harris KO Win
David Dvorak,125 lbs.,Juancamilo Ronderos,WIN,SUB,1.0,2:18,Submission,David Dvorak Submission Win,David Dvorak Submission Win
David Heath,205 lbs.,Lyoto Machida,LOSS,U-DEC,3.0,5:00,Decision,Lyoto Machida Decision Win,Lyoto Machida KO Win
David Loiseau,185 lbs.,Mark Weir,WIN,KO/TKO,1.0,3:55,KO,David Loiseau KO Win,David Loiseau KO Win
David Mitchell,170 lbs.,Simeon Thoresen,WIN,U-DEC,3.0,5:00,Decision,David Mitchell Decision Win,Simeon Thoresen Decision Win
David Teymur,155 lbs.,Drakkar Klose,WIN,U-DEC,3.0,5:00,Decision,David Teymur Decision Win,Drakkar Klose Decision Win
David Zawada,170 lbs.,Abubakar Nurmagomedov,WIN,SUB ,1.0,2:50,Submission,David Zawada Submission Win,Abubakar Nurmagomedov Decision Win
Dean Lister,185 lbs.,Amar Suloev,LOSS,S-DEC,2.0,5:00,Decision,Amar Suloev Decision Win,Amar Suloev Decision Win
Deiveson Figueiredo,125 lbs.,Brandon Moreno,LOSS,SUB,3.0,2:26,Submission,Brandon Moreno Submission Win,Deiveson Figueiredo Decision Win
Demetrious Johnson,125 lbs.,Tim Elliott,WIN,U-DEC,5.0,5:00,Decision,Demetrious Johnson Decision Win,Demetrious Johnson Decision Win
Demian Maia,170 lbs.,Alexander Yakovlev,WIN,U-DEC,3.0,5:00,Decision,Demian Maia Decision Win,Demian Maia Decision Win
Denis Kang,185 lbs.,Xavier Foupa-Pokam,WIN,U-DEC,3.0,5:00,Decision,Denis Kang Decision Win,Denis Kang Decision Win
Dennis Bermudez,155 lbs.,Darren Elkins,LOSS,S-DEC,3.0,5:00,Decision,Darren Elkins Decision Win,Dennis Bermudez Decision Win
Dennis Hallman,155 lbs.,Karo Parisyan,WIN,KO/TKO,1.0,1:47,KO,Dennis Hallman KO Win,Karo Parisyan Decision Win
Dennis Siver,145 lbs.,Charles Rosa,WIN,U-DEC ,3.0,5:00,Decision,Dennis Siver Decision Win,Dennis Siver Decision Win
Derek Brunson,185 lbs.,Roan Carneiro,WIN,KO/TKO,1.0,2:38,KO,Derek Brunson KO Win,Derek Brunson Decision Win
Deron Winn,185 lbs.,Gerald Meerschaert,LOSS,SUB,3.0,2:13,Submission,Gerald Meerschaert Submission Win,Deron Winn Decision Win
Derrick Lewis,260 lbs.,Gabriel Gonzaga,WIN,KO/TKO ,1.0,4:48,KO,Derrick Lewis KO Win,Derrick Lewis KO Win
