Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Dustin Pague,135 lbs.,Chico Camus,LOSS,U-DEC,3.0,5:00,Decision,Chico Camus Decision Win,Chico Camus Decision Win
Dustin Poirier,155 lbs.,Yancy Medeiros,WIN,KO/TKO ,1.0,2:38,KO,Dustin Poirier KO Win,Dustin Poirier KO Win
Dustin Stoltzfus,185 lbs.,Gerald Meerschaert,LOSS,SUB,3.0,2:58,Submission,Gerald Meerschaert Submission Win,Gerald Meerschaert Submission Win
Dwight Grant,185 lbs.,Tyler Hill,WIN,KO/TKO,2.0,2:08,KO,Dwight Grant KO Win,Dwight Grant KO Win
Dylan Andrews,185 lbs.,Clint Hester,LOSS,KO/TKO,2.0,5:00,KO,Clint Hester KO Win,Dylan Andrews KO Win
Ebenezer Fontes Braga,199 lbs.,Akira Shoji,LOSS,U-DEC,1.0,15:00,Decision,Akira Shoji Decision Win,Ebenezer Fontes Braga Decision Win
Ed Herman,205 lbs.,David Loiseau,WIN,U-DEC,3.0,5:00,Decision,Ed Herman Decision Win,Ed Herman Decision Win
Ed Ratcliff,155 lbs.,Phil Cardella,WIN,U-DEC,3.0,5:00,Decision,Ed Ratcliff Decision Win,Ed Ratcliff Decision Win
Eddie Alvarez,155 lbs.,Conor McGregor,LOSS,KO/TKO,2.0,3:04,KO,Conor McGregor KO Win,Conor McGregor KO Win
Eddie Sanchez,230 lbs.,Soa Palelei,WIN,KO/TKO ,3.0,3:24,KO,Eddie Sanchez KO Win,Soa Palelei KO Win
Eddie Wineland,135 lbs.,Rani Yahya,LOSS,SUB,1.0,1:07,Submission,Rani Yahya Submission Win,Rani Yahya Decision Win
Edgar Garcia,170 lbs.,DaMarques Johnson,LOSS,SUB,1.0,4:03,Submission,DaMarques Johnson Submission Win,Edgar Garcia KO Win
Edmen Shahbazyan,185 lbs.,Antonio Jones,WIN,KO/TKO,1.0,0:40,KO,Edmen Shahbazyan KO Win,Edmen Shahbazyan KO Win
Edson Barboza,145 lbs.,Terry Etim,WIN,KO/TKO ,3.0,2:02,KO,Edson Barboza KO Win,Edson Barboza Decision Win
Edwin Figueroa,135 lbs.,Francisco Rivera,LOSS,KO/TKO,2.0,4:20,KO,Francisco Rivera KO Win,Francisco Rivera Decision Win
Efrain Escudero,155 lbs.,Drew Dober,WIN,SUB,1.0,0:54,Submission,Efrain Escudero Submission Win,Drew Dober Decision Win
Elias Silverio,155 lbs.,Ernest Chavez,WIN,SUB,3.0,4:21,Submission,Elias Silverio Submission Win,Ernest Chavez Decision Win
Elias Theodorou,185 lbs.,Trevor Smith,WIN,U-DEC,3.0,5:00,Decision,Elias Theodorou Decision Win,Elias Theodorou Decision Win
Eliot Marshall,205 lbs.,Vladimir Matyushenko,LOSS,S-DEC,3.0,5:00,Decision,Vladimir Matyushenko Decision Win,Vladimir Matyushenko Decision Win
Elise Reed,115 lbs.,Sam Hughes,LOSS,KO/TKO,3.0,3:52,KO,Sam Hughes KO Win,Elise Reed Decision Win
Elizeu Zaleski dos Santos,170 lbs.,Aleksei Kunchenko,WIN,U-DEC,3.0,5:00,Decision,Elizeu Zaleski dos Santos Decision Win,Elizeu Zaleski dos Santos Decision Win
Elvis Sinosic,205 lbs.,Jeremy Horn,WIN,SUB,1.0,2:52,Submission,Elvis Sinosic Submission Win,Jeremy Horn KO Win
Emily Whitmire,125 lbs.,Amanda Ribas,LOSS,SUB,2.0,2:10,Submission,Amanda Ribas Submission Win,Amanda Ribas Submission Win
Enrique Barzola,145 lbs.,Horacio Gutierrez,WIN,U-DEC,3.0,5:00,Decision,Enrique Barzola Decision Win,Enrique Barzola Decision Win
Enson Inoue,210 lbs.,Royce Alger,WIN,SUB,1.0,1:36,Submission,Enson Inoue Submission Win,Enson Inoue Submission Win
Eric Lawson,185 lbs.,Josh Neal,WIN,SUB,2.0,0:20,Submission,Eric Lawson Submission Win,Eric Lawson KO Win
Eric Schafer,185 lbs.,Rob MacDonald,WIN,SUB,1.0,2:26,Submission,Eric Schafer Submission Win,Eric Schafer Submission Win
Eric Shelton,125 lbs.,Alex Perez,LOSS,U-DEC,3.0,5:00,Decision,Alex Perez Decision Win,Alex Perez Decision Win
Eric Spicely,185 lbs.,Sam Alvey,LOSS,SUB,1.0,2:43,Submission,Sam Alvey Submission Win,Sam Alvey KO Win
Erick Silva,170 lbs.,Nordine Taleb,LOSS,KO/TKO,2.0,1:34,KO,Nordine Taleb KO Win,Nordine Taleb Decision Win
Erik Koch,170 lbs.,Shane Campbell,WIN,SUB,2.0,3:02,Submission,Erik Koch Submission Win,Erik Koch KO Win
Erik Perez,135 lbs.,John Albert,WIN,SUB,1.0,4:18,Submission,Erik Perez Submission Win,Erik Perez Submission Win
Erin Blanchfield,125 lbs.,JJ Aldrich,WIN,SUB,2.0,2:38,Submission,Erin Blanchfield Submission Win,Erin Blanchfield Decision Win
Eryk Anders,185 lbs.,Darren Stewart,WIN,U-DEC,3.0,5:00,Decision,Eryk Anders Decision Win,Darren Stewart Decision Win
Estevan Payan,145 lbs.,Jeremy Stephens,LOSS,U-DEC,3.0,5:00,Decision,Jeremy Stephens Decision Win,Jeremy Stephens KO Win
Eugene Jackson,185 lbs.,Mike Seal,WIN,KO/TKO,2.0,2:49,KO,Eugene Jackson KO Win,Eugene Jackson KO Win
Evan Dunham,155 lbs.,Ricky Glenn,WIN,U-DEC ,3.0,5:00,Decision,Evan Dunham Decision Win,Evan Dunham Decision Win
Evan Tanner,185 lbs.,David Loiseau,LOSS,KO/TKO,2.0,4:15,KO,David Loiseau KO Win,Evan Tanner Decision Win
Evangelista Santos,170 lbs.,Mauricio Rua,LOSS,KO/TKO,1.0,2:31,KO,Mauricio Rua KO Win,Mauricio Rua KO Win
Fabiano Iha,155 lbs.,Laverne Clark,LOSS,KO/TKO,1.0,1:21,KO,Laverne Clark KO Win,Laverne Clark KO Win
Fabio Maldonado,205 lbs.,Hans Stringer,WIN,KO/TKO ,2.0,4:06,KO,Fabio Maldonado KO Win,Fabio Maldonado KO Win
Fabricio Camoes,155 lbs.,Melvin Guillard,LOSS,U-DEC,3.0,5:00,Decision,Melvin Guillard Decision Win,Fabricio Camoes Submission Win
Fabricio Werdum,231 lbs.,Roman Zentsov,WIN,SUB,1.0,4:01,Submission,Fabricio Werdum Submission Win,Fabricio Werdum Submission Win
Fares Ziam,155 lbs.,Luigi Vendramini,WIN,M-DEC,3.0,5:00,Decision,Fares Ziam Decision Win,Fares Ziam Decision Win
Fedor Emelianenko,230 lbs.,Kevin Randleman,WIN,SUB,1.0,1:33,Submission,Fedor Emelianenko Submission Win,Fedor Emelianenko Submission Win
Felice Herrig,115 lbs.,Michelle Waterson-Gomez,LOSS,U-DEC,3.0,5:00,Decision,Michelle Waterson-Gomez Decision Win,Felice Herrig Decision Win
Felicia Spencer,145 lbs.,Amanda Nunes,LOSS,U-DEC,5.0,5:00,Decision,Amanda Nunes Decision Win,Amanda Nunes Decision Win
Felipe Arantes,135 lbs.,Erik Perez,LOSS,S-DEC,3.0,5:00,Decision,Erik Perez Decision Win,Erik Perez Decision Win
Felipe Colares,145 lbs.,Luke Sanders,WIN,U-DEC,3.0,5:00,Decision,Felipe Colares Decision Win,Luke Sanders Decision Win
Forrest Griffin,205 lbs.,Quinton Jackson,WIN,U-DEC ,5.0,5:00,Decision,Forrest Griffin Decision Win,Quinton Jackson KO Win
Forrest Petz,170 lbs.,Sammy Morgan,WIN,U-DEC,3.0,5:00,Decision,Forrest Petz Decision Win,Forrest Petz KO Win
Francimar Barroso,205 lbs.,Ednaldo Oliveira,WIN,U-DEC,3.0,5:00,Decision,Francimar Barroso Decision Win,Francimar Barroso Decision Win
Francis Carmont,205 lbs.,Chris Camozzi,WIN,U-DEC,3.0,5:00,Decision,Francis Carmont Decision Win,Francis Carmont Decision Win
Francis Ngannou,250 lbs.,Junior Dos Santos,WIN,KO/TKO ,1.0,1:11,KO,Francis Ngannou KO Win,Francis Ngannou KO Win
Francisco Rivera,135 lbs.,John Lineker,LOSS,SUB ,1.0,2:08,Submission,John Lineker Submission Win,John Lineker Decision Win
Francisco Trinaldo,170 lbs.,Leandro Silva,WIN,U-DEC,3.0,5:00,Decision,Francisco Trinaldo Decision Win,Francisco Trinaldo Decision Win
Frank Camacho,155 lbs.,Li Jingliang,LOSS,U-DEC ,3.0,5:00,Decision,Li Jingliang Decision Win,Li Jingliang KO Win
Frank Mir,264 lbs.,Dan Christison,WIN,U-DEC,3.0,5:00,Decision,Frank Mir Decision Win,Frank Mir Decision Win
Frank Shamrock,185 lbs.,Phil Baroni,WIN,SUB,2.0,4:15,Submission,Frank Shamrock Submission Win,Frank Shamrock Submission Win
Frank Trigg,170 lbs.,Falaniko Vitale,WIN,U-DEC,3.0,5:00,Decision,Frank Trigg Decision Win,Frank Trigg KO Win
Frankie Edgar,135 lbs.,BJ Penn,WIN,KO/TKO,3.0,4:16,KO,Frankie Edgar KO Win,Frankie Edgar Decision Win
Frankie Saenz,135 lbs.,Henry Briones,WIN,U-DEC,3.0,5:00,Decision,Frankie Saenz Decision Win,Frankie Saenz Decision Win
Fredson Paixao,145 lbs.,Courtney Buck,WIN,SUB,1.0,2:39,Submission,Fredson Paixao Submission Win,Fredson Paixao Submission Win
Gabriel Benitez,155 lbs.,Billy Quarantillo,LOSS,KO/TKO ,3.0,3:40,KO,Billy Quarantillo KO Win,Billy Quarantillo KO Win
Gabriel Gonzaga,242 lbs.,Fabiano Scherner,WIN,KO/TKO,2.0,0:24,KO,Gabriel Gonzaga KO Win,Gabriel Gonzaga KO Win
Gadzhimurad Antigulov,205 lbs.,Michal Oleksiejczuk,LOSS,KO/TKO,1.0,0:44,KO,Michal Oleksiejczuk KO Win,Michal Oleksiejczuk KO Win
Gan McGee,265 lbs.,Tim Sylvia,LOSS,KO/TKO,1.0,1:54,KO,Tim Sylvia KO Win,Tim Sylvia KO Win
Garreth McLellan,185 lbs.,Magnus Cedenblad,LOSS,KO/TKO,2.0,0:47,KO,Magnus Cedenblad KO Win,Magnus Cedenblad Decision Win
Gary Goodridge,249 lbs.,Naoya Ogawa,LOSS,SUB,2.0,0:36,Submission,Naoya Ogawa Submission Win,Naoya Ogawa Submission Win
Gavin Tucker,145 lbs.,Justin Jaynes,WIN,SUB ,3.0,1:43,Submission,Gavin Tucker Submission Win,Gavin Tucker Decision Win
Gegard Mousasi,185 lbs.,Hiroshi Izumi,WIN,KO/TKO,1.0,3:29,KO,Gegard Mousasi KO Win,Gegard Mousasi KO Win
Geoff Neal,170 lbs.,Santiago Ponzinibbio,WIN,S-DEC,3.0,5:00,Decision,Geoff Neal Decision Win,Geoff Neal KO Win
George Roop,135 lbs.,Francisco Rivera,LOSS,KO/TKO,2.0,2:20,KO,Francisco Rivera KO Win,Francisco Rivera KO Win
George Sotiropoulos,155 lbs.,Rafael Dos Anjos,LOSS,KO/TKO,1.0,0:59,KO,Rafael Dos Anjos KO Win,Rafael Dos Anjos Decision Win
George Sullivan,170 lbs.,Mike Rhodes,WIN,U-DEC,3.0,5:00,Decision,George Sullivan Decision Win,George Sullivan Decision Win
Georges St-Pierre,185 lbs.,Thomas Denny,WIN,KO/TKO,2.0,4:45,KO,Georges St-Pierre KO Win,Georges St-Pierre KO Win
Gerald Harris,185 lbs.,David Branch,WIN,KO/TKO ,3.0,2:35,KO,Gerald Harris KO Win,Gerald Harris KO Win
Gerald Meerschaert,185 lbs.,Khamzat Chimaev,LOSS,KO/TKO,1.0,0:17,KO,Khamzat Chimaev KO Win,Khamzat Chimaev KO Win
Germaine de Randamie,135 lbs.,Aspen Ladd,WIN,KO/TKO,1.0,0:16,KO,Germaine de Randamie KO Win,Germaine de Randamie Decision Win
Gesias Cavalcante,155 lbs.,Josh Thomson,LOSS,U-DEC,3.0,5:00,Decision,Josh Thomson Decision Win,Josh Thomson Decision Win
Gian Villante,230 lbs.,Keith Berry,WIN,U-DEC,3.0,5:00,Decision,Gian Villante Decision Win,Gian Villante KO Win
Giga Chikadze,145 lbs.,Austin Springer,LOSS,SUB,3.0,4:10,Submission,Austin Springer Submission Win,Giga Chikadze Submission Win
Gilbert Burns,170 lbs.,Stephen Thompson,WIN,U-DEC,3.0,5:00,Decision,Gilbert Burns Decision Win,Gilbert Burns Decision Win
Gilbert Melendez,145 lbs.,Josh Thomson,LOSS,U-DEC,5.0,5:00,Decision,Josh Thomson Decision Win,Gilbert Melendez Decision Win
Gilbert Yvel,225 lbs.,Junior Dos Santos,LOSS,KO/TKO,1.0,2:07,KO,Junior Dos Santos KO Win,Junior Dos Santos KO Win
Gillian Robertson,115 lbs.,Priscila Cachoeira,WIN,SUB,1.0,4:59,Submission,Gillian Robertson Submission Win,Gillian Robertson Submission Win
Gina Carano,145 lbs.,Leiticia Pestova,WIN,KO/TKO,1.0,0:39,KO,Gina Carano KO Win,Gina Carano KO Win
Gina Mazany,125 lbs.,Sara McMann,LOSS,SUB,1.0,1:14,Submission,Sara McMann Submission Win,Sara McMann KO Win
Gleison Tibau,155 lbs.,Josh Neer,WIN,U-DEC,3.0,5:00,Decision,Gleison Tibau Decision Win,Gleison Tibau Decision Win
Gloria de Paula,115 lbs.,Cheyanne Vlismas,LOSS,KO/TKO,1.0,1:00,KO,Cheyanne Vlismas KO Win,Cheyanne Vlismas Decision Win
Glover Teixeira,205 lbs.,Jon Jones,LOSS,U-DEC,5.0,5:00,Decision,Jon Jones Decision Win,Jon Jones Decision Win
Godofredo Pepey,145 lbs.,Mike de la Torre,WIN,SUB,1.0,3:03,Submission,Godofredo Pepey Submission Win,Mike de la Torre KO Win
Grant Dawson,155 lbs.,Adrian Diaz,WIN,SUB,2.0,1:15,Submission,Grant Dawson Submission Win,Grant Dawson Submission Win
Gray Maynard,155 lbs.,Nate Diaz,LOSS,KO/TKO,1.0,2:38,KO,Nate Diaz KO Win,Gray Maynard Decision Win
Greg Hardy,265 lbs.,Marcin Tybura,LOSS,KO/TKO,2.0,4:31,KO,Marcin Tybura KO Win,Greg Hardy KO Win
Gregor Gillespie,155 lbs.,Glaico Franca Moreira,WIN,U-DEC,3.0,5:00,Decision,Gregor Gillespie Decision Win,Gregor Gillespie Decision Win
Gregory Rodrigues,185 lbs.,Jordan Williams,LOSS,KO/TKO,1.0,2:19,KO,Jordan Williams KO Win,Gregory Rodrigues KO Win
Guido Cannetti,135 lbs.,Kris Moutinho,WIN,KO/TKO,1.0,2:07,KO,Guido Cannetti KO Win,Guido Cannetti KO Win
Gunnar Nelson,170 lbs.,Leon Edwards,LOSS,S-DEC,3.0,5:00,Decision,Leon Edwards Decision Win,Leon Edwards Decision Win
Guy Mezger,200 lbs.,Chuck Liddell,LOSS,KO/TKO,2.0,2:21,KO,Chuck Liddell KO Win,Chuck Liddell KO Win
Hacran Dias,155 lbs.,Iuri Alcantara,WIN,U-DEC,3.0,5:00,Decision,Hacran Dias Decision Win,Iuri Alcantara Decision Win
Hakeem Dawodu,145 lbs.,Danny Henry,LOSS,SUB,1.0,0:39,Submission,Danny Henry Submission Win,Hakeem Dawodu Decision Win
Hannah Cifers,115 lbs.,Maycee Barber,LOSS,KO/TKO,2.0,2:01,KO,Maycee Barber KO Win,Maycee Barber KO Win
Hannah Goldy,115 lbs.,Diana Belbita,LOSS,U-DEC,3.0,5:00,Decision,Diana Belbita Decision Win,Hannah Goldy Decision Win
Hatsu Hioki,145 lbs.,Jeff Curran,WIN,U-DEC,2.0,5:00,Decision,Hatsu Hioki Decision Win,Hatsu Hioki Decision Win
Hayato Sakurai,168 lbs.,Olaf Alfonso,WIN,KO/TKO,1.0,1:54,KO,Hayato Sakurai KO Win,Hayato Sakurai KO Win
Heath Herring,250 lbs.,Enson Inoue,WIN,KO/TKO,1.0,4:52,KO,Heath Herring KO Win,Heath Herring KO Win
Hector Lombard,185 lbs.,Johny Hendricks,LOSS,U-DEC,3.0,5:00,Decision,Johny Hendricks Decision Win,Johny Hendricks Decision Win
Henrique da Silva,205 lbs.,Jonathan Wilson,WIN,KO/TKO,2.0,4:11,KO,Henrique da Silva KO Win,Jonathan Wilson KO Win
Henry Briones,135 lbs.,Douglas Silva de Andrade,LOSS,KO/TKO,3.0,2:33,KO,Douglas Silva de Andrade KO Win,Douglas Silva de Andrade Decision Win
Henry Cejudo,135 lbs.,TJ Dillashaw,WIN,KO/TKO ,1.0,0:32,KO,Henry Cejudo KO Win,Henry Cejudo Decision Win
Henry Miller,270 lbs.,Makoto Takimoto,LOSS,U-DEC,3.0,5:00,Decision,Makoto Takimoto Decision Win,Makoto Takimoto KO Win
Herbert Burns,145 lbs.,Evan Dunham,WIN,SUB,1.0,1:20,Submission,Herbert Burns Submission Win,Evan Dunham KO Win
Hermes Franca,155 lbs.,Frankie Edgar,LOSS,U-DEC ,3.0,5:00,Decision,Frankie Edgar Decision Win,Frankie Edgar Decision Win
Hidehiko Yoshida,225 lbs.,James Thompson,LOSS,KO/TKO,1.0,7:50,KO,James Thompson KO Win,Hidehiko Yoshida Submission Win
Hideo Tokoro,135 lbs.,Atsushi Yamamoto,WIN,S-DEC,2.0,5:00,Decision,Hideo Tokoro Decision Win,Hideo Tokoro Decision Win
Hiromitsu Miura,170 lbs.,Blas Avena,WIN,KO/TKO,1.0,2:35,KO,Hiromitsu Miura KO Win,Blas Avena KO Win
Hirotaka Yokoi,205 lbs.,Heath Herring,LOSS,KO/TKO,1.0,1:55,KO,Heath Herring KO Win,Heath Herring KO Win
Hiroyuki Takaya,139 lbs.,Robert Peralta,LOSS,S-DEC,3.0,5:00,Decision,Robert Peralta Decision Win,Robert Peralta Decision Win
Holly Holm,135 lbs.,Raquel Pennington,WIN,U-DEC,3.0,5:00,Decision,Holly Holm Decision Win,Raquel Pennington Decision Win
Houston Alexander,205 lbs.,James Irvin,LOSS,KO/TKO,1.0,0:08,KO,James Irvin KO Win,Houston Alexander KO Win
Hugo Viana,135 lbs.,Ramiro Hernandez,WIN,U-DEC,3.0,5:00,Decision,Hugo Viana Decision Win,Hugo Viana Decision Win
Hunter Azure,145 lbs.,Brian Kelleher,LOSS,KO/TKO ,2.0,3:40,KO,Brian Kelleher KO Win,Hunter Azure Decision Win
Hyun Gyu Lim,170 lbs.,Marcelo Guimaraes,WIN,KO/TKO,2.0,4:00,KO,Hyun Gyu Lim KO Win,Marcelo Guimaraes Decision Win
Ian Freeman,225 lbs.,Tedd Williams,WIN,U-DEC,3.0,5:00,Decision,Ian Freeman Decision Win,Tedd Williams KO Win
Ian Heinisch,185 lbs.,Justin Sumter,WIN,KO/TKO,1.0,3:37,KO,Ian Heinisch KO Win,Ian Heinisch KO Win
Ian McCall,125 lbs.,Coty Wheeler,WIN,KO/TKO,3.0,4:34,KO,Ian McCall KO Win,Ian McCall Decision Win
Ignacio Bahamondes,155 lbs.,Roosevelt Roberts,WIN,KO/TKO ,3.0,4:55,KO,Ignacio Bahamondes KO Win,Roosevelt Roberts Decision Win
Igor Pokrajac,205 lbs.,Rafael Cavalcante,LOSS,KO/TKO,1.0,1:18,KO,Rafael Cavalcante KO Win,Rafael Cavalcante KO Win
Igor Vovchanchyn,205 lbs.,Mark Coleman,LOSS,KO/TKO,2.0,3:09,KO,Mark Coleman KO Win,Igor Vovchanchyn KO Win
Ike Villanueva,205 lbs.,Marcin Prachnio,LOSS,KO/TKO,2.0,0:56,KO,Marcin Prachnio KO Win,Marcin Prachnio KO Win
Ikuhisa Minowa,181 lbs.,Ryan Gracie,LOSS,S-DEC,2.0,5:00,Decision,Ryan Gracie Decision Win,Ryan Gracie Submission Win
Ildemar Alcantara,185 lbs.,Wagner Prado,WIN,SUB,2.0,2:39,Submission,Ildemar Alcantara Submission Win,Ildemar Alcantara Submission Win
Ilia Topuria,145 lbs.,Ryan Hall,WIN,KO/TKO,1.0,4:47,KO,Ilia Topuria KO Win,Ilia Topuria KO Win
Ilir Latifi,230 lbs.,Volkan Oezdemir,LOSS,KO/TKO,2.0,4:31,KO,Volkan Oezdemir KO Win,Volkan Oezdemir Decision Win
Impa Kasanganay,170 lbs.,Joaquin Buckley,LOSS,KO/TKO,2.0,2:03,KO,Joaquin Buckley KO Win,Impa Kasanganay Decision Win
Ion Cutelaba,205 lbs.,Ryan Spann,LOSS,SUB,1.0,2:22,Submission,Ryan Spann Submission Win,Ryan Spann KO Win
Irene Aldana,135 lbs.,Holly Holm,LOSS,U-DEC,5.0,5:00,Decision,Holly Holm Decision Win,Holly Holm Decision Win
Isaac Vallie-Flagg,155 lbs.,Elias Silverio,LOSS,U-DEC,3.0,5:00,Decision,Elias Silverio Decision Win,Elias Silverio Decision Win
Islam Makhachev,155 lbs.,Dan Hooker,WIN,SUB,1.0,2:25,Submission,Islam Makhachev Submission Win,Islam Makhachev Decision Win
Israel Adesanya,185 lbs.,Robert Whittaker,WIN,U-DEC,5.0,5:00,Decision,Israel Adesanya Decision Win,Israel Adesanya Decision Win
Iuri Alcantara,135 lbs.,Jimmie Rivera,LOSS,U-DEC,3.0,5:00,Decision,Jimmie Rivera Decision Win,Jimmie Rivera Decision Win
Ivan Menjivar,145 lbs.,Urijah Faber,LOSS,SUB,1.0,4:34,Submission,Urijah Faber Submission Win,Urijah Faber Decision Win
Ivan Salaverry,185 lbs.,Andrei Semenov,WIN,KO/TKO,3.0,2:27,KO,Ivan Salaverry KO Win,Ivan Salaverry KO Win
JJ Aldrich,125 lbs.,Gillian Robertson,WIN,U-DEC,3.0,5:00,Decision,JJ Aldrich Decision Win,JJ Aldrich Decision Win
JP Buys,125 lbs.,Bruno Silva,LOSS,KO/TKO,2.0,2:56,KO,Bruno Silva KO Win,Bruno Silva KO Win
Jacare Souza,185 lbs.,Gegard Mousasi,LOSS,KO/TKO,1.0,2:15,KO,Gegard Mousasi KO Win,Gegard Mousasi KO Win
Jack Della Maddalena,170 lbs.,Ramazan Emeev,WIN,KO/TKO ,1.0,2:32,KO,Jack Della Maddalena KO Win,Jack Della Maddalena KO Win
Jack Hermansson,185 lbs.,Edmen Shahbazyan,WIN,U-DEC,3.0,5:00,Decision,Jack Hermansson Decision Win,Edmen Shahbazyan KO Win
Jack Marshman,185 lbs.,Magnus Cedenblad,WIN,KO/TKO ,2.0,3:40,KO,Jack Marshman KO Win,Magnus Cedenblad Submission Win
Jack Shore,135 lbs.,Nohelin Hernandez,WIN,SUB ,3.0,2:51,Submission,Jack Shore Submission Win,Jack Shore Submission Win
Jacob Malkoun,185 lbs.,AJ Dobson,WIN,U-DEC,3.0,5:00,Decision,Jacob Malkoun Decision Win,Jacob Malkoun Decision Win
Jacob Volkmann,155 lbs.,Paul Sass,LOSS,SUB,1.0,1:54,Submission,Paul Sass Submission Win,Jacob Volkmann Decision Win
Jai Herbert,155 lbs.,Khama Worthy,WIN,KO/TKO,1.0,2:47,KO,Jai Herbert KO Win,Khama Worthy KO Win
Jailton Almeida,205 lbs.,Parker Porter,WIN,SUB,1.0,4:35,Submission,Jailton Almeida Submission Win,Jailton Almeida KO Win
Jairzinho Rozenstruik,242 lbs.,Curtis Blaydes,LOSS,U-DEC,3.0,5:00,Decision,Curtis Blaydes Decision Win,Jairzinho Rozenstruik KO Win
Jake Collier,230 lbs.,Chase Sherman,WIN,SUB ,1.0,2:26,Submission,Jake Collier Submission Win,Jake Collier Decision Win
Jake Ellenberger,170 lbs.,Jake Shields,WIN,KO/TKO ,1.0,0:53,KO,Jake Ellenberger KO Win,Jake Shields Decision Win
Jake Matthews,170 lbs.,Diego Sanchez,WIN,U-DEC,3.0,5:00,Decision,Jake Matthews Decision Win,Diego Sanchez Decision Win
Jake O'Brien,205 lbs.,Kristof Midoux,WIN,KO/TKO,2.0,0:52,KO,Jake O'Brien KO Win,Jake O'Brien KO Win
Jake Shields,170 lbs.,Yoshihiro Akiyama,WIN,U-DEC,3.0,5:00,Decision,Jake Shields Decision Win,Jake Shields Decision Win
Jalin Turner,155 lbs.,Jamie Mullarkey,WIN,KO/TKO,2.0,0:46,KO,Jalin Turner KO Win,Jamie Mullarkey Decision Win
Jamahal Hill,205 lbs.,Alexander Poppeck,WIN,KO/TKO,2.0,4:29,KO,Jamahal Hill KO Win,Jamahal Hill KO Win
Jamall Emmers,145 lbs.,Vince Cachero,WIN,U-DEC,3.0,5:00,Decision,Jamall Emmers Decision Win,Jamall Emmers Decision Win
James Head,170 lbs.,Brian Ebersole,WIN,S-DEC,3.0,5:00,Decision,James Head Decision Win,Brian Ebersole Submission Win
James Irvin,205 lbs.,Mike Kyle,LOSS,KO/TKO,1.0,1:55,KO,Mike Kyle KO Win,Mike Kyle KO Win
James Krause,170 lbs.,Warlley Alves,WIN,KO/TKO,2.0,2:28,KO,James Krause KO Win,James Krause Decision Win
James Moontasri,170 lbs.,Anton Zafir,WIN,KO/TKO,1.0,4:36,KO,James Moontasri KO Win,James Moontasri KO Win
James Te Huna,185 lbs.,Mauricio Rua,LOSS,KO/TKO,1.0,1:03,KO,Mauricio Rua KO Win,Mauricio Rua KO Win
James Terry,170 lbs.,Magno Almeida,WIN,KO/TKO,1.0,3:21,KO,James Terry KO Win,James Terry KO Win
James Thompson,265 lbs.,Kevin Ferguson,LOSS,KO/TKO,3.0,0:38,KO,Kevin Ferguson KO Win,Kevin Ferguson KO Win
James Vick,155 lbs.,Justin Gaethje,LOSS,KO/TKO,1.0,1:27,KO,Justin Gaethje KO Win,Justin Gaethje KO Win
Jamie Mullarkey,155 lbs.,Brad Riddell,LOSS,U-DEC ,3.0,5:00,Decision,Brad Riddell Decision Win,Brad Riddell Decision Win
Jamie Pickett,185 lbs.,Kyle Daukaus,LOSS,SUB,1.0,4:59,Submission,Kyle Daukaus Submission Win,Jamie Pickett Decision Win
Jamie Varner,155 lbs.,Gleison Tibau,LOSS,S-DEC,3.0,5:00,Decision,Gleison Tibau Decision Win,Gleison Tibau Submission Win
Jan Blachowicz,205 lbs.,Luke Rockhold,WIN,KO/TKO ,2.0,1:39,KO,Jan Blachowicz KO Win,Jan Blachowicz KO Win
Jared Cannonier,185 lbs.,Kelvin Gastelum,WIN,U-DEC,5.0,5:00,Decision,Jared Cannonier Decision Win,Kelvin Gastelum Decision Win
Jared Gooden,170 lbs.,Niklas Stolze,WIN,KO/TKO,1.0,1:08,KO,Jared Gooden KO Win,Niklas Stolze Decision Win
Jared Gordon,155 lbs.,Grant Dawson,LOSS,SUB,3.0,4:11,Submission,Grant Dawson Submission Win,Grant Dawson Submission Win
Jared Hamman,185 lbs.,Scott Graham,WIN,KO/TKO,2.0,1:36,KO,Jared Hamman KO Win,Jared Hamman KO Win
Jared Rosholt,265 lbs.,Walt Harris,WIN,U-DEC,3.0,5:00,Decision,Jared Rosholt Decision Win,Jared Rosholt Decision Win
Jared Vanderaa,265 lbs.,Harry Hunsucker,WIN,KO/TKO,1.0,3:34,KO,Jared Vanderaa KO Win,Jared Vanderaa KO Win
Jason Black,155 lbs.,Shinya Aoki,LOSS,SUB,1.0,1:58,Submission,Shinya Aoki Submission Win,Shinya Aoki Submission Win
Jason Brilz,205 lbs.,Brad Morris,WIN,KO/TKO,2.0,2:54,KO,Jason Brilz KO Win,Jason Brilz KO Win
Jason High,155 lbs.,James Head,WIN,SUB,1.0,1:41,Submission,Jason High Submission Win,Jason High Submission Win
Jason Knight,145 lbs.,Tatsuya Kawajiri,LOSS,U-DEC,3.0,5:00,Decision,Tatsuya Kawajiri Decision Win,Tatsuya Kawajiri Decision Win
Jason Lambert,185 lbs.,Rob MacDonald,WIN,SUB,1.0,1:54,Submission,Jason Lambert Submission Win,Jason Lambert Submission Win
Jason MacDonald,185 lbs.,John Salter,LOSS,KO/TKO,1.0,2:42,KO,John Salter KO Win,John Salter KO Win
