Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Aaron Riley,155 lbs.,Joe Brammer,WIN,U-DEC,3.0,5:00,Decision,Aaron Riley Decision Win,Aaron Riley Decision Win
Aaron Simpson,170 lbs.,Ronny Markes,LOSS,S-DEC,3.0,5:00,Decision,Ronny Markes Decision Win,Ronny Markes Decision Win
Abdul Razak Alhassan,185 lbs.,Alessio Di Chirico,WIN,KO/TKO ,1.0,0:17,KO,Abdul Razak Alhassan KO Win,Abdul Razak Alhassan KO Win
Abel Trujillo,155 lbs.,Jordan Rinaldi,WIN,U-DEC,3.0,5:00,Decision,Abel Trujillo Decision Win,Abel Trujillo KO Win
Akihiro Gono,170 lbs.,Dan Hardy,LOSS,S-DEC,3.0,5:00,Decision,Dan Hardy Decision Win,Dan Hardy Decision Win
Akira Shoji,195 lbs.,Daijiro Matsui,DRAW,Other,4.0,10:00,Submission,Daijiro Matsui Submission Win,Akira Shoji Decision Win
Al Iaquinta,155 lbs.,Kevin Lee,WIN,U-DEC ,5.0,5:00,Decision,Al Iaquinta Decision Win,Al Iaquinta Decision Win
Alan Belcher,185 lbs.,Jason MacDonald,WIN,KO/TKO,1.0,3:48,KO,Alan Belcher KO Win,Alan Belcher KO Win
Alan Jouban,170 lbs.,Ben Saunders,WIN,KO/TKO ,2.0,2:38,KO,Alan Jouban KO Win,Alan Jouban KO Win
Alan Patrick,155 lbs.,Bobby Green,LOSS,U-DEC,3.0,5:00,Decision,Bobby Green Decision Win,Alan Patrick Decision Win
Alejandro Perez,135 lbs.,Song Yadong,LOSS,KO/TKO,1.0,2:04,KO,Song Yadong KO Win,Song Yadong Decision Win
Aleksei Oleinik,240 lbs.,Chris Daukaus,LOSS,KO/TKO,1.0,1:55,KO,Chris Daukaus KO Win,Chris Daukaus KO Win
Alessio Di Chirico,185 lbs.,Joaquin Buckley,WIN,KO/TKO ,1.0,2:12,KO,Alessio Di Chirico KO Win,Joaquin Buckley KO Win
Alessio Sakara,185 lbs.,Chris Weidman,LOSS,U-DEC,3.0,5:00,Decision,Chris Weidman Decision Win,Alessio Sakara KO Win
Alex Caceres,145 lbs.,Urijah Faber,LOSS,SUB,3.0,1:09,Submission,Urijah Faber Submission Win,Alex Caceres Decision Win
Alex Garcia,170 lbs.,Muslim Salikhov,WIN,SUB,2.0,3:22,Submission,Alex Garcia Submission Win,Muslim Salikhov Decision Win
Alex Karalexis,155 lbs.,Bart Palaszewski,LOSS,KO/TKO,2.0,1:11,KO,Bart Palaszewski KO Win,Alex Karalexis Decision Win
Alex Morono,170 lbs.,David Zawada,WIN,U-DEC,3.0,5:00,Decision,Alex Morono Decision Win,Alex Morono Decision Win
Alex Oliveira,170 lbs.,Joe Merritt,WIN,U-DEC,3.0,5:00,Decision,Alex Oliveira Decision Win,Alex Oliveira Decision Win
Alex Perez,125 lbs.,Jussier Formiga,WIN,KO/TKO ,1.0,4:06,KO,Alex Perez KO Win,Alex Perez Decision Win
Alex White,155 lbs.,Jim Miller,LOSS,SUB,1.0,1:29,Submission,Jim Miller Submission Win,Jim Miller Decision Win
Alexa Grasso,125 lbs.,Joanne Wood,WIN,SUB,1.0,3:57,Submission,Alexa Grasso Submission Win,Alexa Grasso Decision Win
Alexander Gustafsson,205 lbs.,Daniel Cormier,LOSS,S-DEC ,5.0,5:00,Decision,Daniel Cormier Decision Win,Daniel Cormier KO Win
Alexander Hernandez,155 lbs.,Renato Moicano,LOSS,SUB,2.0,1:23,Submission,Renato Moicano Submission Win,Alexander Hernandez KO Win
Alexander Otsuka,205 lbs.,Yoshihisa Yamamoto,LOSS,KO/TKO,2.0,5:00,KO,Yoshihisa Yamamoto KO Win,Yoshihisa Yamamoto KO Win
Alexander Volkanovski,145 lbs.,Chan Sung Jung,WIN,KO/TKO ,4.0,0:45,KO,Alexander Volkanovski KO Win,Alexander Volkanovski Decision Win
Alexander Volkov,250 lbs.,Marcin Tybura,WIN,U-DEC,3.0,5:00,Decision,Alexander Volkov Decision Win,Alexander Volkov KO Win
Alexandre Pantoja,125 lbs.,Manel Kape,WIN,U-DEC,3.0,5:00,Decision,Alexandre Pantoja Decision Win,Alexandre Pantoja Decision Win
Alexis Davis,135 lbs.,Viviane Araujo,LOSS,U-DEC,3.0,5:00,Decision,Viviane Araujo Decision Win,Alexis Davis Decision Win
Alistair Overeem,265 lbs.,Mirko Filipovic,NC,CNC,1.0,6:09,Submission,Mirko Filipovic Submission Win,Mirko Filipovic KO Win
Aljamain Sterling,135 lbs.,Cory Sandhagen,WIN,SUB ,1.0,1:28,Submission,Aljamain Sterling Submission Win,Aljamain Sterling Decision Win
Alonzo Menifield,205 lbs.,Askar Mozharov,WIN,KO/TKO,1.0,4:40,KO,Alonzo Menifield KO Win,Alonzo Menifield KO Win
Amanda Nunes,135 lbs.,Felicia Spencer,WIN,U-DEC,5.0,5:00,Decision,Amanda Nunes Decision Win,Amanda Nunes Decision Win
Amir Sadollah,170 lbs.,Jorge Lopez,WIN,S-DEC,3.0,5:00,Decision,Amir Sadollah Decision Win,Amir Sadollah Decision Win
Anderson Silva,185 lbs.,Derek Brunson,WIN,U-DEC,3.0,5:00,Decision,Anderson Silva Decision Win,Anderson Silva KO Win
Andre Fili,145 lbs.,Bryce Mitchell,LOSS,U-DEC,3.0,5:00,Decision,Bryce Mitchell Decision Win,Bryce Mitchell Decision Win
Andrea Lee,125 lbs.,Cynthia Calvillo,WIN,KO/TKO ,2.0,5:00,KO,Andrea Lee KO Win,Cynthia Calvillo Decision Win
Andrei Arlovski,240 lbs.,Carlos Felipe,WIN,U-DEC,3.0,5:00,Decision,Andrei Arlovski Decision Win,Carlos Felipe Decision Win
Andrew Sanchez,185 lbs.,Wellington Turman,WIN,KO/TKO ,1.0,4:14,KO,Andrew Sanchez KO Win,Andrew Sanchez Decision Win
Angela Hill,115 lbs.,Rose Namajunas,LOSS,SUB,1.0,2:47,Submission,Rose Namajunas Submission Win,Rose Namajunas Decision Win
Anthony Hamilton,260 lbs.,Marcel Fortuna,LOSS,KO/TKO,1.0,3:10,KO,Marcel Fortuna KO Win,Anthony Hamilton Decision Win
Anthony Johnson,205 lbs.,Jimi Manuwa,WIN,KO/TKO ,2.0,0:28,KO,Anthony Johnson KO Win,Anthony Johnson KO Win
Anthony Njokuani,155 lbs.,Rafael Dos Anjos,LOSS,U-DEC,3.0,5:00,Decision,Rafael Dos Anjos Decision Win,Rafael Dos Anjos Decision Win
Anthony Perosh,205 lbs.,Guto Inocente,WIN,SUB,1.0,3:46,Submission,Anthony Perosh Submission Win,Anthony Perosh KO Win
Anthony Pettis,155 lbs.,Jeremy Stephens,WIN,S-DEC,3.0,5:00,Decision,Anthony Pettis Decision Win,Anthony Pettis Decision Win
Anthony Rocco Martin,170 lbs.,Sergio Moraes,WIN,U-DEC,3.0,5:00,Decision,Anthony Rocco Martin Decision Win,Sergio Moraes Decision Win
Anthony Smith,205 lbs.,Lumumba Sayers,WIN,SUB,1.0,3:52,Submission,Anthony Smith Submission Win,Anthony Smith Submission Win
Antonio Banuelos,135 lbs.,Miguel Torres,LOSS,U-DEC,3.0,5:00,Decision,Miguel Torres Decision Win,Antonio Banuelos Decision Win
Antonio Carlos Junior,185 lbs.,Ian Heinisch,LOSS,U-DEC,3.0,5:00,Decision,Ian Heinisch Decision Win,Antonio Carlos Junior Decision Win
Antonio Rodrigo Nogueira,240 lbs.,Wagner da Conceicao Martins,WIN,SUB,1.0,2:17,Submission,Antonio Rodrigo Nogueira Submission Win,Antonio Rodrigo Nogueira Submission Win
Antonio Silva,264 lbs.,Soa Palelei,WIN,KO/TKO,2.0,0:41,KO,Antonio Silva KO Win,Soa Palelei KO Win
Arnold Allen,145 lbs.,Dan Hooker,WIN,KO/TKO,1.0,2:33,KO,Arnold Allen KO Win,Arnold Allen Decision Win
Ashley Yoder,115 lbs.,Miranda Granger,WIN,U-DEC,3.0,5:00,Decision,Ashley Yoder Decision Win,Miranda Granger Decision Win
Augusto Sakai,265 lbs.,Tai Tuivasa,LOSS,KO/TKO,2.0,0:26,KO,Tai Tuivasa KO Win,Tai Tuivasa KO Win
BJ Penn,155 lbs.,Paul Creighton,WIN,KO/TKO,2.0,3:23,KO,BJ Penn KO Win,BJ Penn KO Win
Bart Palaszewski,145 lbs.,Hatsu Hioki,LOSS,U-DEC,3.0,5:00,Decision,Hatsu Hioki Decision Win,Hatsu Hioki Decision Win
Belal Muhammad,170 lbs.,Demian Maia,WIN,U-DEC,3.0,5:00,Decision,Belal Muhammad Decision Win,Belal Muhammad Decision Win
Ben Rothwell,265 lbs.,Mark Hunt,LOSS,U-DEC,3.0,5:00,Decision,Mark Hunt Decision Win,Ben Rothwell KO Win
Ben Saunders,170 lbs.,Sergio Moraes,LOSS,SUB,2.0,4:42,Submission,Sergio Moraes Submission Win,Sergio Moraes Decision Win
Beneil Dariush,155 lbs.,Jim Miller,WIN,U-DEC,3.0,5:00,Decision,Beneil Dariush Decision Win,Beneil Dariush Decision Win
Benson Henderson,170 lbs.,Rafael Dos Anjos,LOSS,KO/TKO,1.0,2:31,KO,Rafael Dos Anjos KO Win,Benson Henderson Decision Win
Bethe Correia,135 lbs.,Sijara Eubanks,WIN,U-DEC,3.0,5:00,Decision,Bethe Correia Decision Win,Sijara Eubanks Decision Win
Bibiano Fernandes,139 lbs.,Rodolfo Marques Diniz,WIN,U-DEC,2.0,5:00,Decision,Bibiano Fernandes Decision Win,Bibiano Fernandes Decision Win
Billy Evangelista,155 lbs.,Waachiim Spiritwolf,WIN,U-DEC,3.0,5:00,Decision,Billy Evangelista Decision Win,Billy Evangelista Decision Win
Bobby Green,155 lbs.,James Krause,WIN,KO/TKO,1.0,3:50,KO,Bobby Green KO Win,Bobby Green Decision Win
